,Accuracy,Precision,Recall,F1 Score,FPR,FNR
"train layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.9548605849371117,0.9449111985536531,0.9698369960704409,0.9572118578636454,0.06140350877192982,0.030163003929559017
"val layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.9549897704023642,0.9426805282382692,0.9730278422273781,0.957613814756672,0.06475162672591653,0.02697215777262181
"train layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.9573041369904531,0.9550865800865801,0.9632877310435163,0.9591696253894645,0.04919393077287814,0.03671226895648377
"val layers=[256, 128, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.5",0.9585511858755777,0.9534352235394944,0.9679524361948956,0.9606389868316902,0.051737819393747025,0.03204756380510441
"train layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.3",0.9392521594180937,0.9595305697520349,0.922209285402416,0.9404998237444109,0.042239608029081714,0.07779071459758405
"val layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.3",0.9373342426309009,0.9548793284365162,0.923723897911833,0.9390432667502027,0.04777019520710998,0.07627610208816706
"train layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.5",0.9556372177602667,0.9544172932330827,0.9606680250327463,0.9575324581127149,0.04982614193140509,0.03933197496725367
"val layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=1, dropout_rate=0.5",0.9568083655376222,0.953022056717273,0.964907192575406,0.9589277993947255,0.05205522932867799,0.03509280742459397
"train layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.3",0.8290271253220185,0.8039254429295923,0.8882258768738175,0.8439757994814174,0.23526157736684053,0.11177412312618251
"val layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.3",0.8295824808668637,0.8037651980651066,0.8915313225058005,0.845376418013063,0.23821615616568798,0.10846867749419954
"train layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.5",0.957057887558721,0.9562181133987047,0.9615412603696696,0.9588722991237459,0.04781096886360044,0.03845873963033038
"val layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=3, dropout_rate=0.5",0.9593089338486019,0.9555810288006877,0.9670823665893271,0.9612972972972973,0.049198539914299316,0.03291763341067285
"train layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.3",0.9263524776481286,0.9364456939923054,0.9210449716198515,0.9286814880035219,0.06788367314683104,0.07895502838014845
"val layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.3",0.9266499962112601,0.9378138847858198,0.9206786542923434,0.9291672764525098,0.06681479130296779,0.07932134570765662
"train layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.9579671162297317,0.9556685784366771,0.9639790423519139,0.9598058217255058,0.04856171961435119,0.03602095764808616
"val layers=[256, 128, 64], epochs=100, min_delta=0.0, patience=5, dropout_rate=0.5",0.9582480866863681,0.9545780197736066,0.9660672853828306,0.9602882882882883,0.05030947468655769,0.033932714617169374
"train layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.3",0.9468101227458706,0.949766695829688,0.9479697278416533,0.9488673610605288,0.054449186028133395,0.05203027215834667
"val layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.3",0.945517920739562,0.94586401039411,0.9501160092807425,0.9479852419879911,0.059514362799555624,0.04988399071925754
"train layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.5",0.9564517351113805,0.9556721548760629,0.9609227186726823,0.958290244743192,0.04840366682471946,0.03907728132731771
"val layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=1, dropout_rate=0.5",0.9586269606728802,0.9561781609195402,0.9650522041763341,0.960594688221709,0.04840501507697191,0.034947795823665896
"train layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9311069859069556,0.9462888797394917,0.9198806578372871,0.9328979170126013,0.05670143828038565,0.08011934216271285
"val layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.3",0.9325604304008487,0.9450207468879668,0.9247389791183295,0.9347698622104954,0.0588795429296937,0.07526102088167054
"train layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9550310653129263,0.9558161487075225,0.9579027797991558,0.9568583266700589,0.04808756124545598,0.04209722020084413
"val layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=3, dropout_rate=0.5",0.9563537167538076,0.9542840713053479,0.9625870069605569,0.9584175570314756,0.05046817965402317,0.037412993039443156
"train layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.9234921957872405,0.9392588151534454,0.9120215398049775,0.9254398109689687,0.06405089299826142,0.08797846019502256
"val layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.3",0.9264226718193529,0.941834451901566,0.9157482598607889,0.9286081905742225,0.06189493731153785,0.08425174013921113
"train layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.9552394302166995,0.9519303421724895,0.9626328045408238,0.9572516598223493,0.05278963173700016,0.03736719545917625
"val layers=[256, 128, 64], epochs=100, min_delta=0.001, patience=5, dropout_rate=0.5",0.956581041145715,0.9513204853675946,0.9663573085846868,0.9587799438889288,0.05411839390572925,0.033642691415313224
