,Accuracy,Precision,Recall,F1 Score,FPR,FNR
"train layers=[64], epochs=500, min_delta=0.0, patience=7, dropout_rate=0.3",0.9597855735717533,0.9587569190694982,0.9642337359918498,0.9614875283446712,0.04504504504504504,0.035766264008150195
"val layers=[64], epochs=500, min_delta=0.0, patience=7, dropout_rate=0.3",0.9605213306054406,0.958699093394733,0.9660672853828306,0.9623690863127483,0.04554832566259324,0.033932714617169374
"train layers=[64], epochs=500, min_delta=0.0, patience=7, dropout_rate=0.5",0.9592173056523716,0.9584796380090498,0.9633968854606316,0.96093197118438,0.04532163742690058,0.03660311453936836
"val layers=[64], epochs=500, min_delta=0.0, patience=7, dropout_rate=0.5",0.9603697810108358,0.9569769109422056,0.9676624129930395,0.9622899992789675,0.0476114902396445,0.03233758700696056
"train layers=[64], epochs=500, min_delta=0.0, patience=9, dropout_rate=0.3",0.9597855735717533,0.9594217600811564,0.9635060398777471,0.961459562494327,0.04425478109688636,0.03649396012225295
"val layers=[64], epochs=500, min_delta=0.0, patience=9, dropout_rate=0.3",0.9600666818216261,0.9586634019876135,0.9651972157772621,0.9619192138160272,0.04554832566259324,0.03480278422273782
"train layers=[64], epochs=500, min_delta=0.0, patience=9, dropout_rate=0.5",0.9596150931959387,0.9594751341162825,0.9631058070149905,0.9612870424171993,0.04417575470207049,0.03689419298500946
"val layers=[64], epochs=500, min_delta=0.0, patience=9, dropout_rate=0.5",0.9606728802000455,0.9584471603163192,0.9666473317865429,0.9625297812432315,0.0458657355975242,0.03335266821345707
"train layers=[64], epochs=500, min_delta=0.001, patience=3, dropout_rate=0.3",0.9584217305652372,0.9586824826785649,0.9615776451753748,0.9601278814190478,0.04500553184763711,0.038422354824625235
"val layers=[64], epochs=500, min_delta=0.001, patience=3, dropout_rate=0.3",0.9587027354701826,0.9574989194640542,0.9637470997679815,0.9606128496061285,0.04681796540231709,0.03625290023201856
"train layers=[64], epochs=500, min_delta=0.001, patience=3, dropout_rate=0.5",0.9592551901803303,0.9614221704127354,0.9602677921699898,0.960844634568126,0.04184447605500237,0.03973220783001019
"val layers=[64], epochs=500, min_delta=0.001, patience=3, dropout_rate=0.5",0.9609002045919527,0.9604503464203233,0.964907192575406,0.9626736111111112,0.04348516108554198,0.03509280742459397
"train layers=[64], epochs=500, min_delta=0.001, patience=5, dropout_rate=0.3",0.9591036520684952,0.9607393661536222,0.9607044098384515,0.9607218876780614,0.04263474000316106,0.03929559016154854
"val layers=[64], epochs=500, min_delta=0.001, patience=5, dropout_rate=0.3",0.9607486549973479,0.9604389257868899,0.9646171693735499,0.9625235132397627,0.04348516108554198,0.03538283062645012
"train layers=[64], epochs=500, min_delta=0.001, patience=5, dropout_rate=0.5",0.9595582664040007,0.9584403371071002,0.9641245815747344,0.9612740563385391,0.04540066382171645,0.03587541842526561
"val layers=[64], epochs=500, min_delta=0.001, patience=5, dropout_rate=0.5",0.9606728802000455,0.9583153658186,0.966792343387471,0.9625351909333718,0.04602444056498969,0.033207656612529
"train layers=[64], epochs=500, min_delta=0.001, patience=7, dropout_rate=0.3",0.9599371116835884,0.9579076567632937,0.9654708193858245,0.9616743680347921,0.04607238817765134,0.03452918061417552
"val layers=[64], epochs=500, min_delta=0.001, patience=7, dropout_rate=0.3",0.9598393574297188,0.9558865654540246,0.9678074245939675,0.9618100590863237,0.04888112997936835,0.03219257540603248
"train layers=[64], epochs=500, min_delta=0.001, patience=7, dropout_rate=0.5",0.9592173056523716,0.956793017636239,0.9652525105515937,0.9610041477241854,0.04733681049470523,0.034747489448406346
"val layers=[64], epochs=500, min_delta=0.001, patience=7, dropout_rate=0.5",0.960597105402743,0.9568644310690743,0.9682424593967517,0.9625198212483783,0.04777019520710998,0.03175754060324826
"train layers=[64], epochs=500, min_delta=0.001, patience=9, dropout_rate=0.3",0.959482497348083,0.9605000181692649,0.9617231843981953,0.9611112121157028,0.04295084558242453,0.03827681560180469
"val layers=[64], epochs=500, min_delta=0.001, patience=9, dropout_rate=0.3",0.960218231416231,0.9598671863721668,0.9641821345707656,0.9620198220357375,0.044119980955403905,0.03581786542923434
"train layers=[64], epochs=500, min_delta=0.001, patience=9, dropout_rate=0.5",0.9593877860281861,0.9585263462651997,0.9636879639062728,0.9611002249800421,0.04528212422949265,0.03631203609372726
"val layers=[64], epochs=500, min_delta=0.001, patience=9, dropout_rate=0.5",0.9607486549973479,0.958716915995397,0.9665023201856149,0.9625938763720393,0.04554832566259324,0.03349767981438515
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9558834671919988,0.9556569938050212,0.959794789695823,0.9577214224771725,0.04836415362731152,0.04020521030417697
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.3",0.9576418883079488,0.955440563461262,0.9638921113689095,0.9596477297336317,0.049198539914299316,0.03610788863109049
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.958705864524928,0.9581733903092634,0.962705574152234,0.96043413554031,0.04563774300616406,0.037294425847765975
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=3, dropout_rate=0.5",0.9604455558081382,0.9575078954923916,0.9672273781902552,0.9623430962343096,0.04697667036978257,0.03277262180974478
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9573230792544325,0.9561083191727828,0.9621961868723621,0.959142592894837,0.04796902165323218,0.0378038131276379
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.3",0.9595362582405093,0.9573030477285797,0.9656322505800464,0.9614496101645972,0.047135375337248056,0.034367749419953596
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9565464464312775,0.9548244980499784,0.9620506476495415,0.9584239524430912,0.049431009957325744,0.037949352350458446
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=5, dropout_rate=0.5",0.9584754110782754,0.9553802008608321,0.9656322505800464,0.9604788691764027,0.0493572448817648,0.034367749419953596
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.3",0.95739884831035,0.9562136168058719,0.9622325716780672,0.959213652273263,0.04785048206100838,0.037767428321932764
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.3",0.9587785102674851,0.9559287970140683,0.9656322505800464,0.9607560236618092,0.048722425011902874,0.034367749419953596
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.5",0.957834520381876,0.9580703663402249,0.9610682578955029,0.9595669706106732,0.04567725620357199,0.03893174210449716
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=7, dropout_rate=0.5",0.9584754110782754,0.956953642384106,0.9638921113689095,0.9604103453258199,0.04745278527217902,0.03610788863109049
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.3",0.9574367328383089,0.9580716593458453,0.9602677921699898,0.9591684686812887,0.04563774300616406,0.03973220783001019
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.3",0.9588542850647874,0.9580389329488104,0.9634570765661253,0.9607403658448413,0.046183145532455165,0.03654292343387471
"train layers=[64, 64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.5",0.9584217305652372,0.9576863213523003,0.9626691893465289,0.9601712906679247,0.046190927769875136,0.03733081065347111
"val layers=[64, 64], epochs=50, min_delta=0.0, patience=9, dropout_rate=0.5",0.9589300598620899,0.9572538860103627,0.9644721577726219,0.9608494654724068,0.047135375337248056,0.03552784222737819
"train layers=[64, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9570957720866798,0.9546421489093203,0.9633605006549265,0.9589815099875043,0.049707602339181284,0.0366394993450735
"val layers=[64, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.3",0.9580207622944609,0.9544282029234737,0.9657772621809745,0.9600691941761569,0.05046817965402317,0.034222737819025524
"train layers=[64, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9583080769813608,0.957015292288782,0.9631785766264008,0.9600870432496147,0.046981191718033825,0.036821423373599185
"val layers=[64, 64], epochs=50, min_delta=0.001, patience=3, dropout_rate=0.5",0.9596120330378116,0.9557370004297379,0.9675174013921114,0.9615911220004324,0.04903983494683384,0.03248259860788863
"train layers=[64, 64], epochs=50, min_delta=0.001, patience=5, dropout_rate=0.3",0.9583270192453403,0.9561593418488851,0.9641609663804396,0.9601434834595456,0.04800853485064011,0.03583903361956047
